,n_missing,percent
id,0,0.00
X_Minimum,0,0.00
X_Maximum,0,0.00
Y_Minimum,0,0.00
Y_Maximum,0,0.00
Pixels_Areas,0,0.00
X_Perimeter,0,0.00
Y_Perimeter,0,0.00
Sum_of_Luminosity,0,0.00
Minimum_of_Luminosity,0,0.00
Maximum_of_Luminosity,0,0.00
Length_of_Conveyer,0,0.00
TypeOfSteel_A300,0,0.00
TypeOfSteel_A400,0,0.00
Steel_Plate_Thickness,0,0.00
Edges_Index,0,0.00
Empty_Index,0,0.00
Square_Index,0,0.00
Outside_X_Index,0,0.00
Edges_X_Index,0,0.00
Edges_Y_Index,0,0.00
Outside_Global_Index,0,0.00
LogOfAreas,0,0.00
Log_X_Index,0,0.00
Log_Y_Index,0,0.00
Orientation_Index,0,0.00
Luminosity_Index,0,0.00
SigmoidOfAreas,0,0.00
Pastry,0,0.00
Z_Scratch,0,0.00
K_Scatch,0,0.00
Stains,0,0.00
Dirtiness,0,0.00
Bumps,0,0.00
Other_Faults,0,0.00
